=== Torus Throughput Benchmark ===
Mode: consensus
Sign mode: eip712 (secp256k1 ecrecover per action)
Duration: 200s
Senders: 20 (offset 60)
Batch size: 400 order(s)/action
Submit batch: 1 action(s)/RPC call
RPC endpoints: 3

[63s] submitted: 2,520 actions (40/s) | included: 2,164 actions (35/s) | orders ~13801/s | blk: #12664 | 35ms/blk
[63s] submitted: 2,540 actions (40/s) | included: 2,164 actions (34/s) | orders ~13691/s | blk: #12664 | 35ms/blk
[64s] submitted: 2,560 actions (40/s) | included: 2,164 actions (34/s) | orders ~13583/s | blk: #12664 | 35ms/blk
[64s] submitted: 2,580 actions (40/s) | included: 2,164 actions (34/s) | orders ~13477/s | blk: #12664 | 35ms/blk
[65s] submitted: 2,600 actions (40/s) | included: 2,164 actions (33/s) | orders ~13372/s | blk: #12664 | 35ms/blk
[65s] submitted: 2,620 actions (40/s) | included: 2,164 actions (33/s) | orders ~13269/s | blk: #12664 | 35ms/blk
[68s] submitted: 2,720 actions (40/s) | included: 2,466 actions (36/s) | orders ~14585/s | blk: #12674 | 42ms/blk
[69s] submitted: 2,780 actions (40/s) | included: 2,724 actions (39/s) | orders ~15683/s | blk: #12753 | 42ms/blk
[70s] submitted: 2,820 actions (40/s) | included: 2,804 actions (40/s) | orders ~15920/s | blk: #12794 | 42ms/blk
[71s] submitted: 2,850 actions (40/s) | included: 2,824 actions (40/s) | orders ~15902/s | blk: #12831 | 41ms/blk
[72s] submitted: 2,871 actions (40/s) | included: 2,824 actions (39/s) | orders ~15791/s | blk: #12831 | 41ms/blk
[72s] submitted: 2,900 actions (40/s) | included: 2,884 actions (40/s) | orders ~15958/s | blk: #12874 | 41ms/blk
[73s] submitted: 2,920 actions (40/s) | included: 2,924 actions (40/s) | orders ~16038/s | blk: #12894 | 41ms/blk
[73s] submitted: 2,940 actions (40/s) | included: 2,924 actions (40/s) | orders ~15928/s | blk: #12898 | 41ms/blk
[74s] submitted: 2,960 actions (40/s) | included: 2,924 actions (40/s) | orders ~15820/s | blk: #12901 | 41ms/blk
[75s] submitted: 3,000 actions (40/s) | included: 2,984 actions (40/s) | orders ~15974/s | blk: #12941 | 41ms/blk
[75s] submitted: 3,020 actions (40/s) | included: 3,024 actions (40/s) | orders ~16049/s | blk: #12968 | 41ms/blk
[76s] submitted: 3,040 actions (40/s) | included: 3,024 actions (40/s) | orders ~15943/s | blk: #12968 | 41ms/blk
[77s] submitted: 3,080 actions (40/s) | included: 3,064 actions (40/s) | orders ~15994/s | blk: #12976 | 41ms/blk
[77s] submitted: 3,100 actions (40/s) | included: 3,084 actions (40/s) | orders ~15977/s | blk: #13013 | 41ms/blk
[78s] submitted: 3,120 actions (40/s) | included: 3,105 actions (40/s) | orders ~15960/s | blk: #13027 | 41ms/blk
[78s] submitted: 3,140 actions (40/s) | included: 3,124 actions (40/s) | orders ~15941/s | blk: #13046 | 40ms/blk
[79s] submitted: 3,180 actions (40/s) | included: 3,164 actions (40/s) | orders ~16004/s | blk: #13074 | 40ms/blk
[80s] submitted: 3,200 actions (40/s) | included: 3,184 actions (40/s) | orders ~15980/s | blk: #13081 | 40ms/blk
[80s] submitted: 3,220 actions (40/s) | included: 3,204 actions (40/s) | orders ~15963/s | blk: #13105 | 40ms/blk
[81s] submitted: 3,240 actions (40/s) | included: 3,204 actions (40/s) | orders ~15864/s | blk: #13105 | 40ms/blk
[82s] submitted: 3,280 actions (40/s) | included: 3,264 actions (40/s) | orders ~16004/s | blk: #13136 | 40ms/blk
[82s] submitted: 3,300 actions (40/s) | included: 3,284 actions (40/s) | orders ~15975/s | blk: #13162 | 40ms/blk
[83s] submitted: 3,320 actions (40/s) | included: 3,304 actions (40/s) | orders ~15962/s | blk: #13172 | 40ms/blk
[83s] submitted: 3,340 actions (40/s) | included: 3,304 actions (40/s) | orders ~15866/s | blk: #13173 | 40ms/blk
